Threads,NX,NY,Schedule,ChunkSize,Time,CenterValue,AverageValue
1,100,100,static,8,0.17932,0.09505,0.00010
2,100,100,static,8,0.13225,0.09505,0.00010
4,100,100,static,8,0.24483,0.09505,0.00010
8,100,100,static,8,0.19748,0.09505,0.00010
16,100,100,static,8,1.37390,0.09505,0.00010
