Threads,NX,NY,Schedule,ChunkSize,Time,CenterValue,AverageValue
1,100,100,static,8,0.13784,0.09505,0.00010
2,100,100,static,8,0.06423,0.09505,0.00010
4,100,100,static,8,0.23168,0.09505,0.00010
8,100,100,static,8,0.21388,0.09505,0.00010
16,100,100,static,8,1.78634,0.09505,0.00010
