Versao,Pi,Tempo(s)
Serial,3.141257,3.421198
Paralela Incoreta,0.287259,1.293580
Paralela Corret-default,3.141623,0.160058
Paralela Corret-private,3.141623,0.189063
Paralela Corret-shared,3.141623,0.180262
Paralela Corret-firstprivate,3.141623,0.175954
Paralela Corret-lastprivate,3.141726,0.170824
