M,N,Num_processos,Tempo_segundos
1000,100,2,0.000522
1000,100,4,0.000371
1000,100,8,0.000307
1000,1000,2,0.003901
1000,1000,4,0.005198
1000,1000,8,0.002078
10000,100,2,0.003859
10000,100,4,0.005367
10000,100,8,0.002098
10000,1000,2,0.035525
10000,1000,4,0.035438
10000,1000,8,0.041619
50000,100,2,0.019473
50000,100,4,0.019686
50000,100,8,0.025425
50000,1000,2,0.174344
50000,1000,4,0.167672
50000,1000,8,0.177022
