threads,affinity,time
1,none,0.989052
1,close,0.960643
1,spread,0.918540
2,none,0.505544
2,close,0.503929
2,spread,0.550864
4,none,0.324838
4,close,0.335669
4,spread,0.339677
8,none,0.242300
8,close,0.236564
8,spread,0.241531
16,none,0.172191
16,close,0.172916
16,spread,0.175866
32,none,0.144208
32,close,0.143941
32,spread,0.143877
